id,id-entidad,entidad,slug,fecha,poblacion,c-negativos,c-sospechosos,c-confirmados,c-defunciones,d-negativos,d-sospechosos,d-confirmados,d-defunciones
1,1,Mexicali,mex,01/04/20,988417,111,38,28,2,0,0,0,0
2,2,Tijuana,tj,01/04/20,1641570,123,86,15,1,0,0,0,0
3,3,Rosarito,ros,01/04/20,96734,0,0,0,0,0,0,0,0
4,4,Ensenada,ens,01/04/20,486639,53,22,0,0,0,0,0,0
5,5,Tecate,tec,01/04/20,102406,0,0,0,0,0,0,0,0
6,6,San Quintin,sq,01/04/20,0,0,0,0,0,0,0,0,0
7,1,Mexicali,mex,02/04/20,988417,115,49,31,2,4,11,3,0
8,2,Tijuana,tj,02/04/20,1641570,116,90,21,2,-7,4,6,1
9,3,Rosarito,ros,02/04/20,96734,6,2,0,0,6,2,0,0
10,4,Ensenada,ens,02/04/20,486639,56,30,0,0,3,8,0,0
11,5,Tecate,tec,02/04/20,102406,6,2,0,0,6,2,0,0
12,6,San Quintin,sq,02/04/20,0,7,3,0,0,7,3,0,0
13,1,Mexicali,mex,03/04/20,988417,124,63,32,2,9,14,1,0
14,2,Tijuana,tj,03/04/20,1641570,132,88,26,2,16,-2,5,0
15,3,Rosarito,ros,03/04/20,96734,7,1,0,0,1,-1,0,0
16,4,Ensenada,ens,03/04/20,486639,60,30,0,0,4,0,0,0
17,5,Tecate,tec,03/04/20,102406,6,4,0,0,0,2,0,0
18,6,San Quintin,sq,03/04/20,0,8,2,0,0,1,-1,0,0
19,1,Mexicali,mex,04/04/20,988417,134,62,36,2,10,-1,4,0
20,2,Tijuana,tj,04/04/20,1641570,140,103,32,3,8,15,6,1
21,3,Rosarito,ros,04/04/20,96734,8,0,0,0,1,-1,0,0
22,4,Ensenada,ens,04/04/20,486639,67,29,1,0,7,-1,1,0
23,5,Tecate,tec,04/04/20,102406,6,5,0,0,0,1,0,0
24,6,San Quintin,sq,04/04/20,0,8,3,0,0,0,1,0,0
25,1,Mexicali,mex,05/04/20,988417,136,57,40,3,2,-5,4,1
26,2,Tijuana,tj,05/04/20,1641570,151,88,51,4,11,-15,19,1
27,3,Rosarito,ros,05/04/20,96734,8,0,0,0,0,0,0,0
28,4,Ensenada,ens,05/04/20,486639,69,27,2,0,2,-2,1,0
29,5,Tecate,tec,05/04/20,102406,6,5,0,0,0,0,0,0
30,6,San Quintin,sq,05/04/20,0,10,1,0,0,2,-2,0,0
31,1,Mexicali,mex,06/04/20,988417,136,53,44,3,0,-4,4,0
32,2,Tijuana,tj,06/04/20,1641570,159,68,63,6,8,-20,12,2
33,3,Rosarito,ros,06/04/20,96734,8,0,1,0,0,0,1,0
34,4,Ensenada,ens,06/04/20,486639,69,27,2,0,0,0,0,0
35,5,Tecate,tec,06/04/20,102406,6,5,0,0,0,0,0,0
36,6,San Quintin,sq,06/04/20,0,10,1,0,0,0,0,0,0
37,1,Mexicali,mex,07/04/20,988417,138,49,62,4,2,-4,18,1
38,2,Tijuana,tj,07/04/20,1641570,159,68,95,8,0,0,32,2
39,3,Rosarito,ros,07/04/20,96734,8,0,1,0,0,0,0,0
40,4,Ensenada,ens,07/04/20,486639,69,27,2,0,0,0,0,0
41,5,Tecate,tec,07/04/20,102406,6,5,0,0,0,0,0,0
42,6,San Quintin,sq,07/04/20,0,10,1,0,0,0,0,0,0
43,1,Mexicali,mex,08/04/20,988417,233,82,84,5,95,33,22,1
44,2,Tijuana,tj,08/04/20,1641570,304,122,146,8,145,54,51,0
45,3,Rosarito,ros,08/04/20,96734,19,10,2,0,11,10,1,0
46,4,Ensenada,ens,08/04/20,486639,99,14,2,0,30,-13,0,0
47,5,Tecate,tec,08/04/20,102406,20,8,6,0,14,3,6,0
48,6,San Quintin,sq,08/04/20,0,10,3,0,0,0,2,0,0
49,1,Mexicali,mex,09/04/00,988417,245,75,96,6,12,-7,12,1
50,2,Tijuana,tj,09/04/00,1641570,303,149,155,11,-1,27,9,3
51,3,Rosarito,ros,09/04/00,96734,19,10,2,0,0,0,0,0
52,4,Ensenada,ens,09/04/00,486639,101,15,3,0,2,1,1,0
53,5,Tecate,tec,09/04/00,102406,20,10,6,0,0,2,0,0
54,6,San Quintin,sq,09/04/00,0,10,2,1,0,0,-1,1,0
55,1,Mexicali,mex,10/04/00,988417,256,95,107,7,11,20,11,1
56,2,Tijuana,tj,10/04/00,1641570,314,182,181,18,11,33,26,7
57,3,Rosarito,ros,10/04/00,96734,19,10,4,0,0,0,2,0
58,4,Ensenada,ens,10/04/00,486639,109,27,3,0,8,12,0,0
59,5,Tecate,tec,10/04/00,102406,20,11,8,0,0,1,2,0
60,6,San Quintin,sq,10/04/00,0,10,2,1,0,0,0,0,0
